Mamm. Genome,25273269,2014,5,22,2014,9,1
Mamm. Genome,25239304,2014,5,14,2014,9,1
Mamm. Genome,25199945,2014,3,18,2014,6,3
Mamm. Genome,25178883,,,,,,
Mamm. Genome,25169573,2014,3,11,2014,8,13
Mamm. Genome,25159725,2014,4,24,2014,8,4
Mamm. Genome,25154910,2014,4,25,2014,8,11
Mamm. Genome,25146550,2014,3,7,2014,7,21
Mamm. Genome,25118634,2014,4,8,2014,7,15
Mamm. Genome,25118633,2014,4,3,2014,7,10
Mamm. Genome,25100545,,,,,,
Mamm. Genome,25091723,2014,4,17,2014,6,25
Mamm. Genome,25086724,2014,5,30,2014,7,14
Mamm. Genome,25074441,2014,3,18,2014,7,4
Mamm. Genome,25001233,2014,4,7,2014,6,11
Mamm. Genome,24997021,2014,4,9,2014,6,11
Mamm. Genome,24997020,2014,4,4,2014,6,12
Mamm. Genome,24969535,2014,1,28,2014,5,19
Mamm. Genome,24952018,2014,2,26,2014,5,20
Mamm. Genome,24906874,2013,11,25,2014,4,25
Mamm. Genome,24898297,2014,3,6,2014,5,6
Mamm. Genome,24879364,2014,3,5,2014,4,25
Mamm. Genome,24838824,2014,1,30,2014,4,10
Mamm. Genome,24802098,2014,2,28,2014,4,14
Mamm. Genome,24792749,2014,1,20,2014,4,10
Mamm. Genome,24781204,2013,12,1,2014,4,1
Mamm. Genome,24777203,2014,1,23,2014,4,2
Mamm. Genome,24777202,2014,2,19,2014,4,3
Mamm. Genome,24770585,2014,2,10,2014,4,1
Mamm. Genome,24770584,2013,10,13,2014,3,18
Mamm. Genome,24760582,2014,3,31,2014,4,3
Mamm. Genome,24756161,2014,3,27,2014,3,27
Mamm. Genome,24752583,2014,2,6,2014,3,25
Mamm. Genome,24752582,2014,3,20,2014,3,25
Mamm. Genome,24718576,2014,1,16,2014,3,25
Mamm. Genome,24700286,2014,2,15,2014,3,11
Mamm. Genome,24700285,2014,1,14,2014,3,5
Mamm. Genome,24691653,2013,12,11,2014,3,10
Mamm. Genome,24668059,2013,9,16,2013,12,18
Mamm. Genome,24553828,2013,9,6,2013,12,30
Mamm. Genome,24549580,2013,9,3,2013,12,30
Mamm. Genome,24504701,2013,9,26,2013,12,9
Mamm. Genome,24487921,2013,11,8,2013,12,9
Mamm. Genome,24448715,2013,10,17,2013,12,30
Mamm. Genome,24445421,2013,9,30,2013,12,18
Mamm. Genome,24445420,2013,9,3,2013,12,18
Mamm. Genome,24445419,2013,9,25,2013,12,11
Mamm. Genome,24374554,2013,8,1,2013,11,25
Mamm. Genome,24317506,2013,8,15,2013,10,22
Mamm. Genome,24306492,2013,8,22,2013,11,8
Mamm. Genome,24281320,2013,5,19,2013,10,24
Mamm. Genome,24275888,2013,9,3,2013,11,8
