pmid	yearPublished	monthPublished	pmidRetraction	yearRetracted	monthRetracted	retractionType
12418875	2002	Nov	16787102	2006	Jun	RetractionIn
11812703	2002	Feb	21451081	2011	May	RetractionIn
11546713	2001	Sep	21792704	2011	Sep	RetractionIn
11473870	2001	Aug	21451066	2011	May	RetractionIn
10972607	2000	Aug	22013600	2011	Aug	RetractionIn
10735806	2000	Apr	21451076	2011	May	RetractionIn
9098916	1997	Feb	10075549	1998	Oct	RetractionIn
12626456	2003	Mar	20357076	2010	Apr	RetractionIn
12642615	2003	Mar	15557126	2004	Nov	RetractionIn
12650488	2003	Mar	20220359	2010	Apr	RetractionIn
12652308	2003	Apr	17401390	2007	Apr	RetractionIn
12652309	2003	Apr	17401390	2007	Apr	RetractionIn
12658805	2002		14631941	2003		RetractionIn
12670382	2003	Apr	21410508	2011	Apr	RetractionIn
12672770	2003	Mar	15914742	2005	May	RetractionIn
12679039	2003	Apr	15478275	2004	Oct	RetractionIn
12680748	2003	Mar	15260900	2004	Jun	RetractionIn
12683472	2003	Mar	19415890	2009	Apr	RetractionIn
12687010	2003	Apr	15759010	2005	Mar	RetractionIn
12696621	2003	Feb	15009622	2004	Apr	RetractionIn
12696935	2003	Apr	19807167	2009	Oct	RetractionIn
12700012			14651063			RetractionIn
12708958	2003	May	14742821	2004	Jan	RetractionIn
12734349	2003	May	21289316	2011	Feb	RetractionIn
12738814	2003	Jul	19720626	2009	Sep	RetractionIn
12747975	2003	Jul	17457993	2007	Apr	RetractionIn
12751431	2003	Feb	19125381	2009		RetractionIn
12757644	2003	Jan	15309810	2004	Jun	RetractionIn
12757708	2003	May	15599984	2004	Oct	RetractionIn
12759451	2003	Jun	20304834	2010	Apr	RetractionIn
12761696	2003	Jul	12934587	2003	Aug	RetractionIn
12768027	2003	Jun	17005709	2006	Oct	RetractionIn
12773570	2003	Jun	16782904	2006	Jul	RetractionIn
12774765	2003	Apr	14988866	2004	Mar	RetractionIn
12790626			15801814			RetractionIn
12796562	2003	Jun	16476960	2006	Feb	PartialRetractionIn
12797863	2003	Sep	15657987	2004	Dec	RetractionIn
12801955	2003	Jul	15082607	2004	May	RetractionIn
12804513	2003	Jul	15137386	2004	May	RetractionIn
12808467	2003	Jun	14603326	2003	Nov	RetractionIn
12813423	2003	Jul	17623895	2007	Jun	RetractionIn
1281519			8152468	1994	Apr	RetractionIn
12819056	2003	Jul	21177933	2011	Jan	RetractionIn
12822012	2003	May	16967080	2006	Sep	RetractionIn
12823979	2003	Jul	17580380	2007	Jun	RetractionIn
12833645	2003	May	19649932	2009	Aug	RetractionIn
12843327	2003	Jul	15520405	2004	Nov	RetractionIn
12869699	2003	Aug	16210516	2005	Oct	RetractionIn
12883403	2003	Aug	20177373	2010	Apr	RetractionIn
12895212	2003	Aug	14687178	2004	Jan	RetractionIn
12919395	2003	Sep	14636358	2003	Nov	RetractionIn
12919678	2003	Aug	16724417	2006	May	RetractionIn
12943767	2003	Sep	19330947	2009	Jan	RetractionIn
12944035	2003	Sep	19020510	2008	Dec	RetractionIn
12954032			20008771	2009	Dec	RetractionIn
12959337			19280442	2009		RetractionIn
12967786			19565674	2009	May	RetractionIn
12968031	2003	Nov	17939193	2007	Sep	PartialRetractionIn
12974429	2003	May	16189926	2004	Jul	RetractionIn
1302352	1992		9480457	1997		RetractionIn
1310062	1992	Feb	11012249	1999	May	RetractionIn
1324627	1992	Aug	1471778	1992	Dec	RetractionIn
1339389	1992	Aug	7896284	1994	Nov	RetractionIn
1341533	1992	Sep	11440025	2001	Feb	RetractionIn
1343090	1992	Oct	8289074	1993	Dec	RetractionIn
1348070	1992	Jan	19353753	2009	May	RetractionIn
1366018	1992	Dec	7880842	1995	Mar	RetractionIn
13679198	2003	Dec	17457996	2007	Apr	RetractionIn
1381241	1992	Sep	11012249	1999	May	RetractionIn
1397285	1992	Oct	8143840	1994	Mar	RetractionIn
1400454	1992	Oct	8354669	1993	Aug	RetractionIn
1421375	1992	Nov	11012249	1999	May	RetractionIn
14499135	2003	Mar	15508234	2004	Nov	RetractionIn
14500648	2003	Oct	20660362	2010	Aug	RetractionIn
14510839	2003	Oct	15683406	2005	Mar	RetractionIn
14512211	2003	Oct	15526407	2004	Jun	RetractionIn
14517260	2003	Oct	18185496	2008	Jan	RetractionIn
14530809	2003		14689962	2003		RetractionIn
14572313	2003	Sep	14723797	2004	Jan	RetractionIn
14578081	2003	Nov	17095496	2006	Dec	RetractionIn
14587731	2003	Oct	15559988	2004	Oct	RetractionIn
14600393	2003	Nov	15088600	2004	Apr	RetractionIn
14608366	2003	Dec	15122294	2004	May	RetractionIn
14622809	2001	Oct	14622684	2003	Sep	RetractionIn
1463587	1992		8373552	1993		RetractionIn
14642133	2003	Nov	15844253	2005	Apr	RetractionIn
14645365	2003	Dec	15959958	2005	Jun	RetractionIn
14645581	2003	Dec	15709047	2005	Mar	RetractionIn
14664422	2003		15672979	2004		RetractionIn
14672915	2004	May	18695264	2008	Sep	RetractionIn
14673690	2003	Dec	17607544	2007	Jun	RetractionIn
14679216	2004	Mar	20954297	2010	Oct	RetractionIn
1468483	1992		8508892	1993		RetractionIn
14689513			14994310			RetractionIn
14699092	2004	Mar	20306576	2010	Feb	RetractionIn
14709792	2003	Dec	15218884			RetractionIn
14712780	2003	Dec	15218874	2004	Apr	RetractionIn
14714201	2003		18773530	2008		RetractionIn
14726590	2004	Jan	19965450	2009	Nov	RetractionIn
14735849	2003	Dec	15025028	2003	Dec	RetractionIn
14744033	2003	Dec	20446345	2010	Apr	RetractionIn
1474590	1992	Dec	7666428	1995	Sep	RetractionIn
14750616	2003	Dec	16913071	2006	Jun	RetractionIn
14755060	2004	Feb	15693149	2004	Sep	RetractionIn
14766451	2004	Feb	17265573	2006	Nov	RetractionIn
14871577	2004	Mar	15685781	2005	Jan	RetractionIn
14871855	2004	Feb	16156091	2005	Sep	RetractionIn
1490124	1992		9750055	1997		RetractionIn
1493543	1992	Dec	8369970	1993	Aug	RetractionIn
14963337	2004	Mar	16410485	2006	Jan	RetractionIn
14970332	2004	Mar	17360700	2007	Feb	RetractionIn
14972677	2004	Feb	17992736	2007	Oct	RetractionIn
14978625	2004	Apr	16132475	2005	Oct	RetractionIn
14985765	2004	Feb	21048767	2010	Nov	RetractionIn
15001474	2004	Jul	18840730	2008	Oct	RetractionIn
15013361	2004	Feb	15560003	2004	Nov	RetractionIn
15028690	2004	Apr	15342609	2004	Sep	RetractionIn
15032629	2004	Mar	20461862			RetractionIn
15039353	2004	Apr	18799811	2008	Oct	RetractionIn
15039926	2004	Mar	16602096	2006	Apr	RetractionIn
15041010	2004	Apr	17582840	2007	Apr	RetractionIn
15041987	2004	Mar	15695968	2005	Feb	RetractionIn
15044043	2004	Mar	15336941	2004	Aug	RetractionIn
15055895	2004	Mar	21540661	2011	Jun	RetractionIn
15070790	2004	Apr	17079770	2006	Nov	RetractionIn
15073372	2004	Apr	18653862	2008	Jul	RetractionIn
15076954	2004	Feb	15473063	2004	Aug	RetractionIn
15078940	2004	May	21228249	2011	Feb	RetractionIn
15079086	2004	Apr	15696627	2005	Jan	RetractionIn
15083493	2004		16245294	2005	Oct	RetractionIn
15089793	2004	May	16842490	2006	Jul	RetractionIn
15099190	2004	Sep	20958266	2010	Dec	RetractionIn
15103161	2004	May	15726764	2004	Nov	RetractionIn
15114096	2004	Apr	15973193	2005	Jun	RetractionIn
15118164	2004	Apr	15459367	2004	Oct	RetractionIn
15122252	2004	Jun	16855608	2006	Aug	RetractionIn
15142171	2004	May	20553466	2010	Jun	RetractionIn
15142861	2004	Jul	21508336	2011	May	RetractionIn
15146069	2004	May	15516371	2004	Nov	RetractionIn
15153858	2004	May	16163818	2005	Sep	RetractionIn
15154073	2004	Apr	15309238			RetractionIn
15155382	2004	Jul	18094391	2008	Jan	RetractionIn
15155873	2004	Jun	17284584	2007	Feb	RetractionIn
15156501	2004	May	15224696	2004	Jul	RetractionIn
15157037	2004	Feb	19422087	2009	May	RetractionIn
15158225			17176532			RetractionIn
15163498	2004	Jul	20238474	2010	Apr	RetractionIn
15165110	2004		18481007	2008	Apr	RetractionIn
15170272	2004	Jun	17236955	2007	Feb	PartialRetractionIn
15177893	2004	Aug	15580694	2004	Nov	RetractionIn
15178751	2004	Jul	15746408	2005	Mar	RetractionIn
15179047	2004	Apr	16511361	2006	Feb	RetractionIn
1518423	1992	Sep	16208844	2005	Sep	RetractionIn
1518830	1992	Sep	9019781	1997	Jan	RetractionIn
15198948	2004	Oct	19264925	2009	Mar	RetractionIn
15209896	2004	Jul	15355508	2004	Aug	RetractionIn
15213307	2004	Jul	16535772	2006	Mar	RetractionIn
15215246	2004	Sep	21516612			RetractionIn
15218149	2004	Jun	18239106	2008	Feb	RetractionIn
15234210	2004	Aug	15372728	2004	Sep	RetractionIn
15239366	2004		16060010	2005		RetractionIn
15240891	2004	Jul	18287002	2008	Mar	RetractionIn
15250046	2004	Jun	15627319	2004	Dec	RetractionIn
15254533	2004	Jul	16222302	2005	Oct	RetractionIn
15256569	2004	Jul	19423630	2009	Jul	RetractionIn
15260988	2004	Jul	16220614	2005	Sep	RetractionIn
15267089	2004	Jun	15354845	2004	Jul	RetractionIn
15269168	2004	Aug	16314492	2005	Dec	RetractionIn
15281492	2004	Jul	21451079	2011	May	RetractionIn
15282297	2004	Aug	16200688	2005	Oct	RetractionIn
15284244	2004	Oct	21495271			RetractionIn
15295347	2004	Jul	15695968	2005	Feb	RetractionIn
15295367	2004	Jul	17162772	2006	Nov	RetractionIn
15298725	2004	Aug	15958062	2005	Jun	RetractionIn
15301984	2004	Aug	18592666	2008	Apr	RetractionIn
15302444	2004	Aug	18572427	2008	Mar	RetractionIn
15304519	2004	Oct	20185771	2010	Mar	RetractionIn
15311210	2004	Sep	16810259	2006	Jun	RetractionIn
15313930	2004	Aug	15966130	2005	Jun	RetractionIn
15322593	2004	Aug	19082250	2008	Dec	RetractionIn
15329587	2004	Sep	20177373	2010	Apr	RetractionIn
15341509	2005	Jan	18798367	2008	Oct	RetractionIn
15342645	2004	Nov	18348354	2008	Feb	RetractionIn
15345558	2004	Sep	18990783	2008	Oct	RetractionIn
15345658	2004	Sep	19338574	2009	Mar	RetractionIn
15356169	2004	Sep	20304835	2010	Apr	RetractionIn
15365812	2004	Oct	15918217	2005	Apr	RetractionIn
15367259	2004	Oct	20586955	2010	Jun	RetractionIn
1536949	1992	Mar	11012249	1999	May	RetractionIn
15370385	2004	Aug	18030635	2007	Nov	RetractionIn
15385115	2004	Oct	15810154	2005	Mar	RetractionIn
15385341	2004	Oct	21451080	2011	May	RetractionIn
15456561	2004	Oct	19149983	2009	Jan	RetractionIn
15464509	2004	Oct	21213615	2011	Jan	RetractionIn
15470063	2004	Oct	19620320	2009	Aug	RetractionIn
15479077	2004	Oct	16506793	2006	Mar	RetractionIn
15480894	2004	Sep	20505972	2010	Jun	RetractionIn
15489860	2004	Nov	15937475	2005	Jun	RetractionIn
15493733			18592679			RetractionIn
15495094	2004		15736316	2004		RetractionIn
15499051	2004	Nov	16969914	2006	Sep	RetractionIn
15501702	2004	Dec	18782924	2008	Jun	RetractionIn
15509205	2004	Nov	20482667	2010	Jun	RetractionIn
15510931	2004	Jul	18567567	2008	Jun	RetractionIn
1551544	1992	Apr	8039642	1994	Aug	RetractionIn
15516429	2004	Nov	15738044	2005	Mar	RetractionIn
15516912	2004	Nov	15937474	2005	Jun	RetractionIn
15518170	2004	Aug	20500035	2009	Mar	RetractionIn
15521078	2005	Jan	17209231	2006	Dec	RetractionIn
15522194	2004	Dec	16767803	2005	Sep	RetractionIn
15528874			19893299	2009		RetractionIn
15536186	2004		16582451	2006	Apr	RetractionIn
15545995	2004	Nov	16881139	2006	Jul	RetractionIn
15563976	2004	Dec	16163795	2005	Sep	RetractionIn
15569762			17846225	2007	Sep	RetractionIn
15571382	2004	Dec	19731911	2009	Sep	RetractionIn
15575251	2004	Oct	18827437	2008		RetractionIn
15590255	2004	Nov	19475772	2009	May	RetractionIn
15604363	2005	Jan	17962537	2007	Oct	RetractionIn
15604405	2004	Dec	18403691	2008	Apr	RetractionIn
